COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
North Macedonia,MAY2019,May 2019,2019,5,May,Other renewables aggregated,4.463461,25,50.763689,21.525116,0.0116838234824093
Denmark,APR2010,April 2010,2010,4,April,Others,118.221,24,1423.368,,0.0388063552336929
Poland,JUN2015,June 2015,2015,6,June,Oil,151.149,9,1921.018,707.745,0.013197600160101
Slovenia,AUG2012,August 2012,2012,8,August,Total combustible fuels,425.963,7,5271.0,3494.873,0.3352901495634159
Bulgaria,AUG2022,August 2022,2022,8,August,Oil,45.099057,9,446.105127,185.579971,0.0119671753968528
Bulgaria,MAY2018,May 2018,2018,5,May,Used for pumped storage,18.220315,18,415.221002,509.922,0.0064263129821434
Sweden,AUG2019,August 2019,2019,8,August,Distribution losses,631.932686,19,10841.999999,6870.963357,0.0578985466713873
Netherlands,APR2020,April 2020,2020,4,April,Not specified,49.6835,13,596.202,198.734,0.0061076970797084
Norway,APR2014,April 2014,2014,4,April,Hydro,10959.925,1,135559.0,46986.679,0.9562936770057612
Denmark,JUN2017,June 2017,2017,6,June,Other combustible non-renewables,48.156,12,658.284,310.069,0.0257383143103766
Lithuania,SEP2017,September 2017,2017,9,September,Non-renewables,78.723,23,964.952,1000.075,0.2387455418880559
Czech Republic,JAN2022,January 2022,2022,1,January,Electricity supplied,6460.048861,17,64705.419937,6472.560377,0.8629457041393446
Czech Republic,APR2013,April 2013,2013,4,April,Total combustible fuels,3597.617,7,44610.001,17741.603,0.5504049762641271
Netherlands,NOV2021,November 2021,2021,11,November,Fossil fuels,7355.226521,27,75362.554693,75639.798749,0.6947813504935705
United States,MAY2013,May 2013,2013,5,May,Other renewables aggregated,6459.49,25,78844.827,31217.309,0.0198655396583152
Korea,JUN2019,June 2019,2019,6,June,Natural gas,9028.516807,10,140715.535606,79439.557791,0.2096248140497508
India,JUL2018,July 2018,2018,7,July,Fossil fuels,93797.083629,27,1208302.886163,655139.964751,0.7190484254832017
North Macedonia,MAR2019,March 2019,2019,3,March,Others,0.901558,24,56.252603,4.906203,0.0020651698601969
Germany,MAR2012,March 2012,2012,3,March,Combustible renewables,3359.153,11,40136.214,8294.784,0.063756399620121
OECD Americas,NOV2017,November 2017,2017,11,November,Oil,5106.006,9,76724.27,72518.235,0.0126726757068703
OECD Total,JUL2013,July 2013,2013,7,July,Used for pumped storage,7808.486,18,82970.855,49421.943,0.0085014766329808
OECD Total,NOV2018,November 2018,2018,11,November,Electricity trade,-814.768508,21,-17533.427992,5799.137,-0.0009359579677527
Greece,MAY2014,May 2014,2014,5,May,Low carbon,1091.504,26,12274.448,6845.244,0.3076218060927213
OECD Americas,AUG2015,August 2015,2015,8,August,Electricity supplied,487683.587,17,5199664.94,3526910.93,1.0016483739533697
Ireland,FEB2015,February 2015,2015,2,February,Electricity trade,-134.343,21,-673.37,-513.261,-0.057499064815758
Lithuania,NOV2018,November 2018,2018,11,November,Electricity trade,-898.002226,21,-9632.499998,-7903.085,-4.098232574952712
Austria,NOV2013,November 2013,2013,11,November,Renewables,4253.421,22,51826.71,48886.105,0.7594846728914557
Sweden,MAR2021,March 2021,2021,3,March,Fossil fuels,256.259099,27,3200.592837,628.863331,0.0160375524657941
New Zealand,NOV2016,November 2016,2016,11,November,Non-renewables,350.234,23,6439.022,7612.563,0.1044989564545412
IEA Total,JUN2010,June 2010,2010,6,June,Distribution losses,56544.915,19,680249.696,,0.0661528103928632
Belgium,JAN2013,January 2013,2013,1,January,Hydro,164.908,1,1691.999,157.197,0.0235857125285689
Belgium,SEP2010,September 2010,2010,9,September,Combustible renewables,320.4,11,4189.65,,0.044068677815877
Slovak Republic,APR2019,April 2019,2019,4,April,Used for pumped storage,22.494915,18,315.999999,163.211971,0.0109951030030982
Hungary,NOV2020,November 2020,2020,11,November,Used for pumped storage,0.0,18,0.0,0.0,0.0
Argentina,JUL2018,July 2018,2018,7,July,Low carbon,4013.911757,26,41166.526638,20707.797,0.2993450710206361
Japan,JAN2012,January 2012,2012,1,January,Geothermal,215.596,4,2400.023,207.637,0.0021358261647759
Malta,JAN2016,January 2016,2016,1,January,Renewables,7.542,22,135.617,6.129,0.1141102066753411
Spain,NOV2021,November 2021,2021,11,November,Hydro,1401.754709,1,32367.291525,29898.713977,0.0599472084148431
Austria,FEB2017,February 2017,2017,2,February,Low carbon,2967.83,26,52460.169,7024.803,0.5844068255853313
Latvia,JUN2021,June 2021,2021,6,June,Other renewables,0.0,5,0.0,0.0,0.0
Czech Republic,APR2017,April 2017,2017,4,April,Renewables,957.137,22,10204.061,3315.875,0.1324289513833939
Czech Republic,MAR2019,March 2019,2019,3,March,Coal,3345.182645,8,35406.226958,10926.965205,0.4829088719071304
Luxembourg,JUN2011,June 2011,2011,6,June,Combustible renewables,9.538,11,92.362,40.168,0.0357710771077107
Ireland,MAR2022,March 2022,2022,3,March,Net electricity production,2966.159289,14,33350.877794,8690.252925,1.0
Denmark,FEB2012,February 2012,2012,2,February,Oil,35.627,9,373.231,82.544,0.0106787336826869
Australia,DEC2016,December 2016,2016,12,December,Final consumption,18555.187,20,232779.599721,231493.368102,0.9437880804861284
Czech Republic,FEB2014,February 2014,2014,2,February,Other combustible non-renewables,4.76,12,61.734,8.828,0.0007073762700822
Hungary,NOV2020,November 2020,2020,11,November,Wind,33.937207,2,636.0,624.817051,0.0121838308842775
OECD Asia Oceania,JUN2012,June 2012,2012,6,June,Natural gas,43877.923,10,578872.797,255031.365,0.3026996408458803
Chile,DEC2015,December 2015,2015,12,December,Oil,71.361,9,2968.856,3808.083,0.011543276976532
Ireland,JUL2017,July 2017,2017,7,July,Combustible renewables,60.869,11,710.003,375.92,0.0260931033684533
Brazil,MAY2021,May 2021,2021,5,May,Others,813.298246,24,35899.380871,4402.995489,0.0156825118048434
Lithuania,JUL2012,July 2012,2012,7,July,Total imports,711.823,15,8059.999,4698.0,2.248910807881991
Colombia,DEC2015,December 2015,2015,12,December,Non-renewables,3005.223,23,26820.895,20435.682,0.4691401291733396
Hungary,MAY2015,May 2015,2015,5,May,Total combustible fuels,827.335,7,12100.0,4436.623,0.4134773004417967
Spain,APR2020,April 2020,2020,4,April,Fossil fuels,4918.327212,27,84371.032355,32768.420987,0.2780729981332959
Poland,MAY2018,May 2018,2018,5,May,Other combustible non-renewables,135.588295,12,2029.076235,117.385,0.0115007582587933
New Zealand,AUG2017,August 2017,2017,8,August,Total exports,0.0,16,0.0,0.0,0.0
Finland,MAY2011,May 2011,2011,5,May,Other combustible non-renewables,19.146,12,217.717,93.207,0.0034077305255124
Germany,DEC2021,December 2021,2021,12,December,Total exports,7624.307853,16,70237.239333,66849.473826,0.146792840938215
Latvia,DEC2015,December 2015,2015,12,December,Hydro,111.515,1,1841.0,1953.0,0.2257137363249031
Portugal,OCT2017,October 2017,2017,10,October,Used for pumped storage,162.006,18,2223.9,1383.335,0.0393514155297281
Estonia,OCT2010,October 2010,2010,10,October,Coal,902.868,8,10449.489,,0.8841643865665708
Portugal,NOV2019,November 2019,2019,11,November,Distribution losses,423.669768,19,4812.285104,4620.214845,0.0814589487325198
Luxembourg,MAY2016,May 2016,2016,5,May,Combustible renewables,11.664,11,134.602,49.15,0.0543928371572467
Canada,JUN2018,June 2018,2018,6,June,Natural gas,4226.164463,10,61996.047816,24619.24,0.090547025343875
Austria,JUL2022,July 2022,2022,7,July,Natural gas,248.283164,10,10484.410024,5516.542985,0.0496949176651794
Mexico,NOV2019,November 2019,2019,11,November,Total exports,82.770155,16,3083.999999,2172.787345,0.0033201142894171
United States,FEB2012,February 2012,2012,2,February,Geothermal,1240.549,4,15562.0,2579.648,0.0039855953006466
Brazil,AUG2020,August 2020,2020,8,August,Low carbon,46324.066424,26,527913.10791,351259.842463,0.9194095380580182
Greece,FEB2013,February 2013,2013,2,February,Natural gas,732.367,10,9702.015,2090.407,0.1763768623781845
Denmark,JUN2017,June 2017,2017,6,June,Coal,123.927,8,5650.495,3994.85,0.0662362338554291
Slovenia,FEB2016,February 2016,2016,2,February,Combustible renewables,26.122,11,251.135,42.688,0.0210353394024069
Slovenia,OCT2011,October 2011,2011,10,October,Fossil fuels,406.381,27,5160.659,4232.111,0.3214764877684501
Spain,OCT2013,October 2013,2013,10,October,Total exports,1380.056,16,16637.999,15739.855,0.0624219756965828
