COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Korea,OCT2017,October 2017,2017,10,October,Oil,381.503,9,11384.41,14361.605,0.0092260344213745
Korea,JUL2012,July 2012,2012,7,July,Combustible renewables,76.293,11,1064.655,614.19,0.0017228332869917
North Macedonia,JUL2021,July 2021,2021,7,July,Used for pumped storage,0.0,18,0.0,0.0,0.0
Finland,APR2016,April 2016,2016,4,April,Total exports,310.388,16,3158.998,1684.073,0.0538869926631689
Australia,JAN2022,January 2022,2022,1,January,Net electricity production,23530.314143,14,262333.481146,22498.944438,1.0
North Macedonia,NOV2021,November 2021,2021,11,November,Electricity supplied,382.020006,17,5185.596477,6219.517174,1.0
Italy,NOV2022,November 2022,2022,11,November,Used for pumped storage,204.388566,18,2614.728478,2612.68065,0.0096729150134327
Luxembourg,JUL2020,July 2020,2020,7,July,Final consumption,509.480263,20,6121.828291,3827.887737,3.08265142180114
OECD Europe,SEP2013,September 2013,2013,9,September,Total combustible fuels,134820.612,7,1670204.828,1301112.977,0.5115530790255993
OECD Total,FEB2021,February 2021,2021,2,February,Total imports,41757.361297,15,525434.578493,88766.770492,0.0479060959305973
Czech Republic,NOV2011,November 2011,2011,11,November,Non-renewables,6745.377,23,72281.123,65450.865,0.9253238829824958
Portugal,JUL2011,July 2011,2011,7,July,Electricity trade,-436.873,21,-2812.998,-961.728,-0.1088690525140611
Spain,OCT2020,October 2020,2020,10,October,Total exports,1286.259001,16,14648.780001,9124.866699,0.0606837848746028
Serbia,AUG2018,August 2018,2018,8,August,Other renewables aggregated,8.45151,25,91.669701,40.366,0.0033835233472531
IEA Total,MAR2020,March 2020,2020,3,March,Nuclear,153905.434414,6,1773073.964904,496862.234666,0.1827826227349655
Ireland,AUG2011,August 2011,2011,8,August,Natural gas,1423.851,10,14878.952,11666.252,0.6922328596098198
Korea,OCT2020,October 2020,2020,10,October,Fossil fuels,27381.395292,27,367665.569743,318700.200555,0.6325316901797631
Belgium,SEP2012,September 2012,2012,9,September,Other renewables aggregated,444.84,25,5025.664,3141.694,0.0713805928356888
Canada,OCT2015,October 2015,2015,10,October,Other combustible non-renewables,7.111,12,86.791,71.34,0.0001454956066096
North Macedonia,DEC2016,December 2016,2016,12,December,Others,11.916,24,91.74,125.663,0.0178870844022402
Portugal,NOV2016,November 2016,2016,11,November,Electricity trade,284.613,21,5085.002,-1919.388,0.0590768000684147
Germany,APR2017,April 2017,2017,4,April,Total combustible fuels,30025.46,7,376115.004,134877.204,0.6089123240323578
Korea,SEP2014,September 2014,2014,9,September,Nuclear,11780.074,6,149165.001,98673.474,0.2817405794960731
Estonia,MAR2016,March 2016,2016,3,March,Wind,36.961,2,594.0,236.967,0.0545604577285985
Croatia,MAR2017,March 2017,2017,3,March,Net electricity production,1072.824,14,11522.899,3611.396,1.0
North Macedonia,APR2020,April 2020,2020,4,April,Used for pumped storage,0.0,18,0.0,0.0,0.0
Serbia,JUL2016,July 2016,2016,7,July,Combustible renewables,2.06,11,30.793,11.523,0.0008078649971312
Austria,NOV2010,November 2010,2010,11,November,Not specified,1.368,13,17.046,,0.0002435020724375
IEA Total,SEP2019,September 2019,2019,9,September,Non-renewables,637914.217521,23,7544861.235998,5871963.151274,0.7438977476891914
Poland,DEC2016,December 2016,2016,12,December,Coal,10722.949,8,120373.13,120596.056,0.7504136112225964
Korea,NOV2020,November 2020,2020,11,November,Other combustible non-renewables,12.367774,12,910.788551,751.003079,0.0002735694470404
Italy,AUG2017,August 2017,2017,8,August,Electricity trade,-2639.975,21,-37760.651,-28635.699,-0.1081987165297523
Korea,FEB2019,February 2019,2019,2,February,Hydro,467.050397,1,6215.500001,1056.619915,0.0104767249357423
Latvia,APR2016,April 2016,2016,4,April,Wind,10.141,2,126.761,56.833,0.0173734127337641
Germany,SEP2014,September 2014,2014,9,September,Wind,2737.288,2,57357.002,32199.982,0.0582106276999462
Luxembourg,OCT2013,October 2013,2013,10,October,Hydro,92.259,1,1145.217,943.662,0.2994867832901053
Norway,JUN2019,June 2019,2019,6,June,Renewables,9220.905882,22,131662.973523,73101.144917,0.9738542916184172
Croatia,SEP2020,September 2020,2020,9,September,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
France,JUN2011,June 2011,2011,6,June,Electricity trade,6046.501,21,56413.001,12864.613,0.148701467386772
Italy,FEB2020,February 2020,2020,2,February,Used for pumped storage,194.072924,18,2667.981001,442.038669,0.0089436721343734
Colombia,JUN2016,June 2016,2016,6,June,Combustible renewables,102.169,11,1372.014,627.051,0.0167569333576945
Luxembourg,SEP2022,September 2022,2022,9,September,Distribution losses,11.083896,19,139.085708,109.290425,0.0616208402213827
Ireland,JUL2017,July 2017,2017,7,July,Hydro,24.638,1,885.766,628.439,0.0105617289719225
Germany,JUN2016,June 2016,2016,6,June,Nuclear,5959.418,6,80038.0,45542.5,0.1282407846554642
Belgium,JUN2020,June 2020,2020,6,June,Fossil fuels,2538.666449,27,29414.245803,13314.319838,0.3897797860933223
Japan,OCT2016,October 2016,2016,10,October,Non-renewables,66924.149,23,873660.355,731403.957,0.8458480818316637
Sweden,JUN2017,June 2017,2017,6,June,Wind,1322.457,2,17608.999,6825.683,0.1226574448765548
Republic of Turkiye,SEP2012,September 2012,2012,9,September,Hydro,3017.606,1,56668.998,39972.606,0.161696779702722
Australia,JUL2021,July 2021,2021,7,July,Electricity trade,0.0,21,0.0,0.0,0.0
Bulgaria,JUN2015,June 2015,2015,6,June,Final consumption,2119.96,20,29639.001,,0.59772375731732
OECD Europe,JUN2015,June 2015,2015,6,June,Total combustible fuels,115375.939,7,1611996.05,768631.024,0.4386373722219339
Switzerland,AUG2014,August 2014,2014,8,August,Total combustible fuels,265.583,7,3364.931,2378.855,0.0446459580886137
Slovak Republic,MAY2010,May 2010,2010,5,May,Electricity trade,-10.408,21,-1041.001,,-0.0050504315285125
Spain,AUG2017,August 2017,2017,8,August,Total imports,2624.172,15,23762.0,14870.232,0.1198088534857046
North Macedonia,AUG2020,August 2020,2020,8,August,Not specified,0.0,13,0.0,0.0,0.0
Colombia,MAY2014,May 2014,2014,5,May,Total exports,21.886,16,849.0,,0.0038179364512275
Poland,FEB2019,February 2019,2019,2,February,Non-renewables,10068.908334,23,124598.870448,23064.70869,0.7993990056734401
Republic of Turkiye,AUG2016,August 2016,2016,8,August,Other combustible non-renewables,2.836,12,22.583,15.904,0.0001136363772963
Italy,FEB2020,February 2020,2020,2,February,Wind,2358.7574,2,18608.198001,4637.092583,0.1087011644660287
India,JUN2020,June 2020,2020,6,June,Renewables,34668.300033,22,324222.356117,134334.809623,0.2706776832720017
Slovak Republic,JUN2016,June 2016,2016,6,June,Solar,60.971,3,532.999,264.647,0.0360411111380398
United States,SEP2015,September 2015,2015,9,September,Electricity trade,-5902.298,21,-66670.0,-39793.24,-0.0167241328292775
Estonia,JAN2021,January 2021,2021,1,January,Other combustible non-renewables,7.827514,12,83.943921,3.082271,0.0134493984706081
Korea,JAN2022,January 2022,2022,1,January,Wind,346.193406,2,3429.842033,378.129946,0.0066899936225337
Bulgaria,MAY2017,May 2017,2017,5,May,Not specified,3.882,13,33.881,14.165,0.00131452098713
Spain,NOV2011,November 2011,2011,11,November,Oil,1051.291,9,14079.971,14518.133,0.0459798191783192
France,MAY2022,May 2022,2022,5,May,Not specified,43.66025,13,523.923,220.603335,0.0012603879225641
Mexico,JAN2016,January 2016,2016,1,January,Final consumption,19292.874,20,263137.991,19471.383,0.8652997983106787
Finland,JAN2018,January 2018,2018,1,January,Other renewables,0.0,5,0.0,,0.0
Netherlands,AUG2021,August 2021,2021,8,August,Not specified,38.468833,13,461.625996,397.468,0.004367456976293
Netherlands,NOV2011,November 2011,2011,11,November,Electricity trade,-299.825,21,-9089.0,-2597.988,-0.0291181085645843
Germany,NOV2015,November 2015,2015,11,November,Electricity trade,5137.433,21,48281.997,28750.805,0.0943619596384895
IEA Total,JAN2011,January 2011,2011,1,January,Total exports,34060.54,16,405101.272,32372.583,0.0353016447977826
Canada,JUL2021,July 2021,2021,7,July,Wind,1897.453573,2,35206.786741,19539.429351,0.038043383527759
Republic of Turkiye,MAY2019,May 2019,2019,5,May,Not specified,100.99746,13,1039.924,391.248405,0.0042306190121775
France,JAN2021,January 2021,2021,1,January,Solar,475.325825,3,14776.497026,525.251888,0.0084086402696034
Chile,JUL2013,July 2013,2013,7,July,Electricity supplied,6144.704,17,69744.002,38455.235,1.0
United Kingdom,JAN2016,January 2016,2016,1,January,Used for pumped storage,353.495,18,4014.34,2320.828,0.0112885368476147
Poland,APR2010,April 2010,2010,4,April,Final consumption,9956.046,20,129424.001,,0.913381621114614
Finland,JUL2022,July 2022,2022,7,July,Total combustible fuels,1023.690922,7,20121.997941,13214.913131,0.2224175764167215
Slovenia,MAY2021,May 2021,2021,5,May,Solar,40.218801,3,386.442036,156.320117,0.028952928872951
Latvia,MAY2013,May 2013,2013,5,May,Total exports,513.719,16,3649.998,1764.456,0.7353886808442415
Belgium,DEC2014,December 2014,2014,12,December,Others,169.998,24,1842.216,1689.643,0.0290029388853118
Croatia,NOV2019,November 2019,2019,11,November,Coal,111.222889,8,1510.597677,1200.756269,0.0759609685063951
Canada,JUN2020,June 2020,2020,6,June,Other renewables,0.0,5,0.0,1.0,0.0
Luxembourg,OCT2010,October 2010,2010,10,October,Distribution losses,11.724,19,133.6,,0.0285191635935508
Bulgaria,NOV2015,November 2015,2015,11,November,Used for pumped storage,130.876,18,727.998,,0.0372936965514529
Chile,FEB2018,February 2018,2018,2,February,Distribution losses,275.383895,19,3511.436001,670.414,0.0458954065079302
Sweden,FEB2015,February 2015,2015,2,February,Solar,3.896,3,97.0,2.753,0.0002709082630636
Mexico,SEP2020,September 2020,2020,9,September,Oil,4117.993914,9,44744.065937,33003.707444,0.1388453135937754
Korea,MAY2014,May 2014,2014,5,May,Net electricity production,42072.086,14,530007.0,218467.348,1.0
Czech Republic,AUG2019,August 2019,2019,8,August,Natural gas,494.046034,10,5197.177349,1886.518462,0.082713590357851
Sweden,DEC2015,December 2015,2015,12,December,Others,131.397,24,1403.942,1375.135,0.0091001448091872
Korea,NOV2020,November 2020,2020,11,November,Coal,14622.568202,8,198971.38694,217217.757985,0.3234444530868552
Norway,MAY2021,May 2021,2021,5,May,Distribution losses,697.916926,19,9076.056292,3767.117604,0.0579633425052045
Mexico,OCT2016,October 2016,2016,10,October,Distribution losses,3445.212,19,40001.999,34603.972,0.1319561963027344
Denmark,AUG2019,August 2019,2019,8,August,Hydro,0.811176,1,17.217001,10.512607,0.0005448641973799
Brazil,JUN2017,June 2017,2017,6,June,Oil,912.32,9,14672.043,7963.573,0.0199095311359102
OECD Total,NOV2022,November 2022,2022,11,November,Nuclear,135974.453941,6,1700994.544437,1652879.062097,0.1606769516413334
Portugal,APR2016,April 2016,2016,4,April,Wind,1154.995,2,12343.098,4542.101,0.2281286398279566
Iceland,JUN2018,June 2018,2018,6,June,Nuclear,0.0,6,0.0,,0.0
Colombia,MAY2019,May 2019,2019,5,May,Other renewables aggregated,127.141741,25,1525.786374,591.27675,0.0191353424756325
Spain,JAN2010,January 2010,2010,1,January,Final consumption,23046.804,20,250760.001,,0.872550509507652
Mexico,AUG2020,August 2020,2020,8,August,Other combustible non-renewables,14.300944,12,144.052431,94.512746,0.0004458100381396
Slovak Republic,FEB2010,February 2010,2010,2,February,Low carbon,1476.967,26,19037.518,,0.7157224524290767
Spain,AUG2013,August 2013,2013,8,August,Low carbon,12877.02,26,167868.137,97774.192,0.557311333830442
Iceland,SEP2016,September 2016,2016,9,September,Other renewables aggregated,402.296,25,5067.998,3721.612,0.2764035710899464
Poland,MAY2011,May 2011,2011,5,May,Solar,0.026,3,0.174,0.0,2.1906314444585616e-06
Poland,JUL2019,July 2019,2019,7,July,Other combustible non-renewables,50.463271,12,520.004964,1180.925014,0.0041665532308832
IEA Total,JAN2017,January 2017,2017,1,January,Fossil fuels,545138.217498,27,5852737.795267,534231.056066,0.5768481605573003
Japan,APR2014,April 2014,2014,4,April,Low carbon,14154.556,26,149061.928,48670.775,0.1754438614834764
Latvia,JUL2021,July 2021,2021,7,July,Total combustible fuels,218.755938,7,2705.216918,1365.124626,0.7259663708252313
Iceland,JUN2010,June 2010,2010,6,June,Net electricity production,1325.701,14,16746.0,,1.0
Poland,JUL2013,July 2013,2013,7,July,Total combustible fuels,11231.017,7,141062.001,81640.315,0.9515995719799554
Argentina,JAN2021,January 2021,2021,1,January,Oil,926.341856,9,7751.433264,901.194613,0.0671939231832293
Netherlands,MAR2021,March 2021,2021,3,March,Total exports,2199.362,16,20632.446,5273.83534,0.1919624882122138
Japan,DEC2018,December 2018,2018,12,December,Solar,3370.467444,3,59275.169385,53699.274,0.0363509876453161
Hungary,APR2014,April 2014,2014,4,April,Total combustible fuels,705.089,7,11320.999,4693.619,0.3830084148006191
Portugal,JAN2015,January 2015,2015,1,January,Low carbon,2497.467,26,25172.425,4326.903,0.5470398020248297
IEA Total,APR2022,April 2022,2022,4,April,Geothermal,3825.66318,4,46489.245916,15258.772994,0.0047608304208181
Korea,OCT2020,October 2020,2020,10,October,Total combustible fuels,27858.158203,7,372071.291001,324440.058335,0.6435452870653082
Austria,JUN2011,June 2011,2011,6,June,Distribution losses,271.718,19,3470.055,1664.188,0.0505561929187318
Slovak Republic,NOV2014,November 2014,2014,11,November,Net electricity production,2211.045,14,25006.999,24780.052,1.0
Finland,JUN2012,June 2012,2012,6,June,Other renewables aggregated,669.494,25,10610.938,6043.551,0.1416439177514318
Luxembourg,JAN2012,January 2012,2012,1,January,Others,5.566,24,59.678,6.302,0.0161867260703421
Czech Republic,NOV2012,November 2012,2012,11,November,Electricity supplied,5536.322,17,63188.999,57170.859,0.8220842097291631
Greece,JUN2022,June 2022,2022,6,June,Wind,832.126592,2,10879.47378,4730.057867,0.1891299409870437
Ireland,APR2019,April 2019,2019,4,April,Oil,32.379334,9,270.690983,48.873788,0.0136044539982616
Japan,JAN2022,January 2022,2022,1,January,Nuclear,6477.747422,6,51714.184529,2577.20355,0.0658425461736054
Slovak Republic,APR2021,April 2021,2021,4,April,Combustible renewables,154.889745,11,1825.633793,495.647184,0.0718821142857106
Italy,JAN2013,January 2013,2013,1,January,Oil,1459.584,9,14712.559,1689.269,0.0603898714533129
Austria,FEB2012,February 2012,2012,2,February,Natural gas,1773.036,10,9272.393,3190.419,0.2921049249900327
Germany,APR2010,April 2010,2010,4,April,Solar,1366.063,3,11728.998,,0.0284520420251021
Poland,APR2020,April 2020,2020,4,April,Natural gas,1269.659454,10,15841.12301,4530.188451,0.117901827239666
Korea,SEP2019,September 2019,2019,9,September,Electricity supplied,44016.545496,17,559099.466998,426977.700474,1.0
Switzerland,SEP2010,September 2010,2010,9,September,Nuclear,1494.0,6,25205.0,,0.3004267507700697
Malta,NOV2019,November 2019,2019,11,November,Total imports,55.525223,15,656.756,588.68,0.4096081869433486
France,JAN2021,January 2021,2021,1,January,Other renewables aggregated,918.776302,25,11323.747656,772.868978,0.0162533971550031
Spain,APR2018,April 2018,2018,4,April,Hydro,5070.366039,1,36170.0,9572.924,0.2412607327544055
Italy,SEP2011,September 2011,2011,9,September,Total exports,129.643,16,1786.999,1250.846,0.0048883814601903
IEA Total,NOV2021,November 2021,2021,11,November,Final consumption,800469.800943,20,9897697.726232,8735063.674888,0.942379473660188
Italy,NOV2019,November 2019,2019,11,November,Not specified,47.448833,13,569.385996,488.553087,0.0020658059380285
France,JUL2018,July 2018,2018,7,July,Oil,430.142252,9,5394.250933,5964.612,0.0102802482232691
Czech Republic,DEC2016,December 2016,2016,12,December,Fossil fuels,4320.181,27,43635.57,41452.456,0.6143440481159127
Portugal,NOV2011,November 2011,2011,11,November,Combustible renewables,207.7,11,2816.92,2267.154,0.0521687847310481
Czech Republic,JUL2016,July 2016,2016,7,July,Final consumption,4305.802,20,59774.444,34449.362,0.7597872991813295
Slovak Republic,JUL2011,July 2011,2011,7,July,Total imports,1031.726,15,11227.0,4420.011,0.4938990617734058
Netherlands,DEC2013,December 2013,2013,12,December,Wind,815.704,2,5627.146,4981.829,0.0809259943991986
OECD Asia Oceania,AUG2018,August 2018,2018,8,August,Nuclear,16120.203219,6,174936.530955,114430.137,0.0911917000386648
Belgium,OCT2020,October 2020,2020,10,October,Other renewables,0.0,5,0.0,0.0,0.0
France,NOV2011,November 2011,2011,11,November,Electricity supplied,43220.028,17,491839.764,456220.131,0.920522712584008
Spain,JUN2012,June 2012,2012,6,June,Electricity trade,624.83,21,11199.0,3462.616,0.0268137691191275
Austria,JAN2022,January 2022,2022,1,January,Total combustible fuels,2342.454671,7,18314.839288,2256.340382,0.3666608656534237
Luxembourg,JAN2013,January 2013,2013,1,January,Fossil fuels,174.532,27,1465.123,226.723,0.6034429704004122
Austria,JUN2013,June 2013,2013,6,June,Natural gas,118.859,10,6352.806,5282.733,0.0220217206471394
Estonia,OCT2017,October 2017,2017,10,October,Wind,66.539,2,723.0,444.506,0.070589046545551
Belgium,JUL2015,July 2015,2015,7,July,Oil,16.659,9,202.611,127.0,0.0033613882842331
IEA Total,MAR2010,March 2010,2010,3,March,Net electricity production,854035.536,14,10331135.572,,1.0
Norway,JUL2012,July 2012,2012,7,July,Fossil fuels,168.763,27,2978.999,3021.968,0.0164444041689078
Romania,OCT2020,October 2020,2020,10,October,Non-renewables,2157.074187,23,27312.006456,24789.956641,0.5165680880347829
Brazil,MAR2019,March 2019,2019,3,March,Electricity trade,0.0,21,0.0,0.0,0.0
United States,OCT2018,October 2018,2018,10,October,Net electricity production,330050.30165,14,4236927.396989,3422914.346,1.0
Cyprus,MAR2021,March 2021,2021,3,March,Electricity trade,0.0,21,0.0,0.0,0.0
France,FEB2012,February 2012,2012,2,February,Combustible renewables,858.419,11,4973.889,1205.576,0.0154816242201692
India,OCT2019,October 2019,2019,10,October,Electricity supplied,119941.113529,17,1533937.887914,1276116.007286,1.0
Cyprus,MAY2019,May 2019,2019,5,May,Total combustible fuels,323.360377,7,4456.956,1607.076279,0.8882153474280662
Spain,SEP2015,September 2015,2015,9,September,Total combustible fuels,10782.866,7,122491.999,78065.648,0.4970656718898931
Australia,MAY2019,May 2019,2019,5,May,Distribution losses,797.928149,19,9654.373651,4177.597944,0.0384119948148436
OECD Total,APR2015,April 2015,2015,4,April,Net electricity production,797552.554314,14,10482101.8257,3526508.185,1.0
India,AUG2019,August 2019,2019,8,August,Other renewables,0.0,5,0.0,0.0,0.0
Norway,OCT2010,October 2010,2010,10,October,Non-renewables,234.629,23,5246.57,,0.0209397837864177
Norway,SEP2011,September 2011,2011,9,September,Wind,111.255,2,1283.002,573.859,0.010766075641322
United States,MAY2018,May 2018,2018,5,May,Hydro,32380.325069,1,314026.943992,152216.25,0.0939825655166909
Japan,APR2015,April 2015,2015,4,April,Wind,316.375,2,6114.48,2352.684,0.0039621016322055
Luxembourg,SEP2018,September 2018,2018,9,September,Used for pumped storage,127.635926,18,1717.498999,1313.763,0.8304635112231805
Australia,MAY2021,May 2021,2021,5,May,Low carbon,5832.019407,26,79585.79405,24682.395194,0.273294283016448
Greece,MAR2020,March 2020,2020,3,March,Final consumption,4004.380823,20,48041.150987,13259.018064,1.2478464590784553
Estonia,JUN2016,June 2016,2016,6,June,Net electricity production,652.111,14,10433.679,4672.294,1.0
Croatia,DEC2021,December 2021,2021,12,December,Fossil fuels,335.554295,27,4242.719826,4337.658741,0.2028557213747844
Korea,AUG2019,August 2019,2019,8,August,Combustible renewables,748.475497,11,8152.029582,4464.441992,0.0146432375114399
Serbia,SEP2015,September 2015,2015,9,September,Total imports,625.397,15,6302.999,,0.2799779025015031
Denmark,APR2021,April 2021,2021,4,April,Distribution losses,86.679898,19,1056.653874,371.057654,0.0299258263698693
Australia,FEB2013,February 2013,2013,2,February,Hydro,1371.249,1,19259.803,1743.212,0.0739034365810232
Brazil,MAY2019,May 2019,2019,5,May,Wind,3881.242888,2,55425.76578,14167.684254,0.0760547092354752
Sweden,OCT2017,October 2017,2017,10,October,Used for pumped storage,4.807,18,35.999,145.611,0.0003739915085955
United Kingdom,AUG2010,August 2010,2010,8,August,Renewables,2274.979,22,28875.265,,0.0891557053123966
Slovak Republic,NOV2013,November 2013,2013,11,November,Combustible renewables,89.921,11,905.995,736.779,0.041187555194008
Chile,NOV2020,November 2020,2020,11,November,Total exports,0.0,16,0.0,0.0,0.0
Luxembourg,JAN2016,January 2016,2016,1,January,Fossil fuels,35.332,27,314.656,209.422,0.1774033199104246
Netherlands,AUG2014,August 2014,2014,8,August,Nuclear,352.091,6,3873.0,2242.0,0.0468549740933676
Denmark,JAN2020,January 2020,2020,1,January,Total combustible fuels,1485.504149,7,10352.233002,1841.684623,0.4072978717045168
Iceland,FEB2019,February 2019,2019,2,February,Hydro,1082.528582,1,13329.110001,2276.478056,0.6966785869698399
Poland,MAR2020,March 2020,2020,3,March,Distribution losses,965.757761,19,9994.999999,1930.638979,0.0766402582045107
Italy,SEP2012,September 2012,2012,9,September,Oil,1517.872,9,18000.699,14398.381,0.0639954857032442
Belgium,APR2019,April 2019,2019,4,April,Non-renewables,5510.979888,23,69996.660807,21352.773524,0.7863539227143262
United Kingdom,NOV2017,November 2017,2017,11,November,Coal,3310.786,8,22261.795,26940.068,0.1094788308783325
Canada,FEB2020,February 2020,2020,2,February,Other renewables,0.0,5,0.0,0.959783,0.0
Malta,JUN2015,June 2015,2015,6,June,Fossil fuels,65.906,27,1139.372,,0.8463919246921032
Norway,FEB2010,February 2010,2010,2,February,Other combustible non-renewables,8.509,12,97.839,,0.0006775906694594
IEA Total,NOV2020,November 2020,2020,11,November,Other combustible non-renewables,4617.84031,12,56461.985512,49302.544799,0.0056387664779299
Denmark,APR2012,April 2012,2012,4,April,Oil,29.39,9,373.231,114.803,0.0128668294100959
OECD Europe,AUG2019,August 2019,2019,8,August,Renewables,105697.74101,22,1385344.21306,889267.327578,0.3889683458988811
Lithuania,JUL2016,July 2016,2016,7,July,Renewables,153.617,22,2616.324,1322.573,0.6228061284476573
Slovak Republic,OCT2014,October 2014,2014,10,October,Fossil fuels,430.589,27,4732.523,5106.712,0.2174243893177567
Australia,JUN2015,June 2015,2015,6,June,Other renewables aggregated,268.346354,25,3257.201256,1634.778,0.0134666189596915
France,MAR2022,March 2022,2022,3,March,Total combustible fuels,6617.319696,7,63965.959689,19126.270822,0.1534598293619418
Spain,JUL2017,July 2017,2017,7,July,Hydro,1210.379,1,20707.999,29630.126,0.0526076761425004
Canada,MAY2015,May 2015,2015,5,May,Not specified,11.583,13,138.996,932.915,0.00024197379927
Switzerland,JUN2016,June 2016,2016,6,June,Wind,9.083,2,108.996,55.002,0.0014065525247408
India,OCT2019,October 2019,2019,10,October,Other renewables aggregated,2492.2565,25,29926.392414,21296.530921,0.0207790008502581
Estonia,NOV2017,November 2017,2017,11,November,Total combustible fuels,880.137,7,10485.0,8928.204,0.919231934159817
Ireland,JUN2012,June 2012,2012,6,June,Combustible renewables,31.603,11,425.635,157.275,0.0160067302924445
Austria,JAN2019,January 2019,2019,1,January,Final consumption,6324.750281,20,65733.003335,6228.223635,0.95978782103341
Japan,MAY2015,May 2015,2015,5,May,Distribution losses,2998.928,19,41162.045,19174.066,0.03855902778001
Spain,FEB2012,February 2012,2012,2,February,Renewables,7771.609,22,88403.515,18683.673,0.2970850900698212
Denmark,APR2015,April 2015,2015,4,April,Other renewables aggregated,402.257,25,3881.133,1709.16,0.1721729669390854
Spain,JAN2017,January 2017,2017,1,January,Wind,4838.759,2,47928.999,5614.926,0.1902291418040769
Greece,MAY2020,May 2020,2020,5,May,Natural gas,1017.577953,10,14562.279963,5015.60879,0.3499837432709176
Australia,FEB2014,February 2014,2014,2,February,Oil,1102.282,9,6115.132,3970.327,0.0565957251482279
Latvia,SEP2014,September 2014,2014,9,September,Distribution losses,31.924,19,464.999,423.44,0.1400298271778226
Iceland,OCT2015,October 2015,2015,10,October,Wind,0.753,2,10.0,6.022,0.000484571575662
Greece,OCT2011,October 2011,2011,10,October,Used for pumped storage,20.902,18,380.002,27.603,0.0054707610566195
Romania,OCT2018,October 2018,2018,10,October,Electricity trade,145.007325,21,2544.431,2243.426,0.0296885299214544
Belgium,JUL2012,July 2012,2012,7,July,Others,122.293,24,1772.749,836.4,0.0185968730525769
Croatia,JUN2017,June 2017,2017,6,June,Others,6.611,24,194.705,27.903,0.0119015899991358
Italy,MAY2014,May 2014,2014,5,May,Oil,979.531,9,13431.487,6056.936,0.0434570793844986
Spain,JAN2016,January 2016,2016,1,January,Total exports,1190.473,16,14178.0,1502.799,0.0519285854742528
Colombia,APR2015,April 2015,2015,4,April,Wind,6.174,2,67.497,23.946,0.0009992258993397
Italy,FEB2012,February 2012,2012,2,February,Oil,1812.762,9,18000.699,3388.357,0.0709107255229159
Iceland,NOV2017,November 2017,2017,11,November,Others,0.096,24,2.085,2.663,6.02462187653165e-05
United Kingdom,OCT2012,October 2012,2012,10,October,Used for pumped storage,351.787,18,3977.75,2990.918,0.0119222688150046
Japan,FEB2011,February 2011,2011,2,February,Other combustible non-renewables,1082.13,12,12948.938,982.535,0.0117062573517038
India,APR2016,April 2016,2016,4,April,Natural gas,5584.821782,10,66631.656346,12737.573059,0.0484707109577814
Japan,OCT2019,October 2019,2019,10,October,Renewables,14479.163537,22,180144.999527,159644.637933,0.1876250981622589
Republic of Turkiye,MAR2010,March 2010,2010,3,March,Wind,187.762,2,2908.0,,0.0113611129028217
Brazil,AUG2022,August 2022,2022,8,August,Total combustible fuels,9946.388451,7,94970.301581,121771.283703,0.1827495116633091
OECD Europe,JAN2012,January 2012,2012,1,January,Others,8388.54,24,89966.778,9124.99,0.0254809067253204
Canada,SEP2019,September 2019,2019,9,September,Total combustible fuels,9089.734701,7,119237.0,90362.512957,0.198850398312334
United States,SEP2022,September 2022,2022,9,September,Geothermal,1380.620256,4,16263.579144,11682.864957,0.0038581851542825
Slovenia,MAR2016,March 2016,2016,3,March,Total exports,815.914,16,9535.0,2128.767,0.598931352736546
Costa Rica,DEC2022,December 2022,2022,12,December,Other renewables aggregated,112.12257,25,1615.529989,1656.151131,0.1069322989489945
Brazil,DEC2018,December 2018,2018,12,December,Low carbon,45549.832445,26,501312.703241,473493.474,0.9228989098790488
Luxembourg,FEB2012,February 2012,2012,2,February,Hydro,84.059,1,1146.805,303.744,0.2224989743114652
Spain,JUN2019,June 2019,2019,6,June,Hydro,1684.989705,1,26410.999998,22342.556785,0.0786101284198098
Ireland,JAN2010,January 2010,2010,1,January,Total exports,4.44,16,289.562,,0.0016797325139466
OECD Asia Oceania,AUG2013,August 2013,2013,8,August,Solar,1763.597,3,16963.895,7511.643,0.010423485739659
Slovenia,OCT2010,October 2010,2010,10,October,Renewables,434.53,22,4842.175,,0.4568868439342338
Finland,MAY2013,May 2013,2013,5,May,Oil,12.805,9,221.625,139.958,0.002427630357873
Germany,APR2014,April 2014,2014,4,April,Others,1042.15,24,14023.86,5146.448,0.0221545031645129
OECD Americas,MAR2021,March 2021,2021,3,March,Electricity supplied,415588.658186,17,5351236.873199,1266247.209693,0.9967763506645696
Australia,JUL2013,July 2013,2013,7,July,Hydro,1968.52,1,19259.803,9113.792,0.0990601085196614
Spain,NOV2011,November 2011,2011,11,November,Natural gas,6111.585,10,81945.971,83439.504,0.2672995138291186
Germany,JAN2015,January 2015,2015,1,January,Others,1653.53,24,14001.37,1382.155,0.0291094208647156
Slovak Republic,JUL2020,July 2020,2020,7,July,Others,31.877696,24,430.405852,235.958673,0.0153706596388191
Spain,AUG2017,August 2017,2017,8,August,Other renewables aggregated,517.613,25,5798.461,3703.215,0.0236320714035878
